Team,unique_id,New_Name
Dartmouth,67,Dartmouth.gif
Davidson,68,Davidson.gif
Dayton,69,Dayton.gif
Delaware,70,Delaware.gif
Delaware St.,71,Delaware St..gif
Denver,72,Denver.gif
DePaul,73,DePaul.gif
Detroit,74,Detroit.gif
Drake,75,Drake.gif
Drexel,76,Drexel.gif
Duke,77,Duke.gif
Duquesne,78,Duquesne.gif
East Carolina,79,East Carolina.gif
East Tennessee St.,80,East Tennessee St..gif
Eastern Kentucky,82,Eastern Kentucky.gif
Eastern Michigan,83,Eastern Michigan.gif
Eastern Washington,84,Eastern Washington.gif
Elon,85,Elon.gif
ETSU,NA,ETSU.gif
Evansville,86,Evansville.gif
Fairfield,87,Fairfield.gif
Fairleigh Dickinson,88,Fairleigh Dickinson.gif
Ferris State,NA,Ferris State.gif
FIU,89,FIU.gif
Florida,90,Florida.gif
Florida A&M,91,Florida A&M.gif
Florida Atlantic,92,Florida Atlantic.gif
Florida Gulf Coast,93,Florida Gulf Coast.gif
Florida St.,94,Florida St..gif
Fordham,95,Fordham.gif
Fresno St.,97,Fresno St..gif
Furman,98,Furman.gif
Gardner Webb,99,Gardner Webb.gif
George Mason,100,George Mason.gif
George Washington,101,George Washington.gif
Georgetown,102,Georgetown.gif
Georgia,103,Georgia.gif
Georgia Southern,104,Georgia Southern.gif
Georgia St.,105,Georgia St..gif
Georgia Tech,106,Georgia Tech.gif
Gonzaga,107,Gonzaga.gif
Grambling St.,108,Grambling St..gif
Grand Canyon,109,Grand Canyon.gif
Hampton,111,Hampton.gif
Hartford,112,Hartford.gif
Harvard,113,Harvard.gif
Hawaii,114,Hawaii.gif
High Point,115,High Point.gif
Hofstra,116,Hofstra.gif
Holy Cross,117,Holy Cross.gif
Houston,118,Houston.gif
Houston Baptist,119,Houston Baptist.gif
Howard,120,Howard.gif
Fort Wayne,96,Fort Wayne.gif
