Team,unique_id,file name
Idaho,121,Idaho.gif
Idaho St.,122,Idaho St..gif
Illinois,123,Illinois.gif
Illinois St.,125,Illinois St..gif
Illinois Chicago,124,Illinois Chicago.gif
Incarnate Word,126,Incarnate Word.gif
Indiana,127,Indiana.gif
Indiana St.,128,Indiana St..gif
Iona,129,Iona.gif
Iowa,130,Iowa.gif
Iowa St.,131,Iowa St..gif
IUPUI,133,IUPUI.gif
Jackson St.,134,Jackson St..gif
Jacksonville,135,Jacksonville.gif
Jacksonville St.,136,Jacksonville St..gif
James Madison,137,James Madison.gif
Kansas,138,Kansas.gif
Kansas City,NA,Kansas City.gif
Kansas St.,139,Kansas St..gif
Kennesaw St.,140,Kennesaw St..gif
Kent St.,141,Kent St..gif
Kentucky,142,Kentucky.gif
La Salle,143,La Salle.gif
Lafayette,144,Lafayette.gif
Lamar Superior State,NA,Lamar Superior State.gif
Lamar,145,Lamar.gif
Lehigh,146,Lehigh.gif
Liberty,147,Liberty.gif
Lipscomb,148,Lipscomb.gif
Little Rock,149,Little Rock.gif
LIU Brooklyn,150,LIU Brooklyn.gif
Long Beach St.,151,Long Beach St..gif
Longwood,152,Longwood.gif
Louisiana Lafayette,154,Louisiana Lafayette.gif
Louisiana Tech,156,Louisiana Tech.gif
Louisiana Monroe,155,Louisiana Monroe.gif
Louisville,157,Louisville.gif
Loyola Chicago,158,Loyola Chicago.gif
Loyola Marymount,159,Loyola Marymount.gif
Loyola MD,160,Loyola MD.gif
LSU,161,LSU.gif
Maine,162,Maine.gif
Manhattan,163,Manhattan.gif
Marist,164,Marist.gif
Marquette,165,Marquette.gif
Marshall,166,Marshall.gif
Maryland,167,Maryland.gif
Maryland Eastern Shore,168,Maryland Eastern Shore.gif
Massachusetts,169,Massachusetts.gif
McNeese St.,170,McNeese St..gif
Memphis,171,Memphis.gif
Mercer,172,Mercer.gif
Mercyhurst,NA,Mercyhurst.gif
Merrimack,NA,Merrimack.gif
Miami FL,173,Miami FL.gif
Miami OH,174,Miami OH.gif
Michigan,175,Michigan.gif
Michigan St.,176,Michigan St..gif
Michigan Tech,NA,Michigan Tech.gif
Middle Tennessee,177,Middle Tennessee.gif
Minnesota,180,Minnesota.gif
Minnesota State,NA,Minnesota State.gif
Minnesota Duluth,nA,Minnesota Duluth.gif
Mississippi,181,Mississippi.gif
Mississippi St.,182,Mississippi St..gif
Missouri,184,Missouri.gif
Missouri St.,185,Missouri St..gif
Monmouth,186,Monmouth.gif
Montana,187,Montana.gif
Montana St.,188,Montana St..gif
Morehead St.,189,Morehead St..gif
Morgan St.,190,Morgan St..gif
Mount St. Mary's,192,Mount St. Mary's.gif
Murray St.,193,Murray St..gif
MVSU Delta,NA,MVSU Delta.gif
IPFW,132,IPFW.gif
LIU Brooklyn,NA,LIU Brooklyn.gif
