Team,unique_id,file name
Sacred Heart,255,Sacred Heart.gif
Saint Francis,NA,Saint Francis.gif
Saint Louis,257,Saint Louis.gif
Saint Mary's,258,Saint Mary's.gif
Saint Peter's,259,Saint Peter's.gif
Sam Houston St.,260,Sam Houston St..gif
Samford,261,Samford.gif
San Diego,262,San Diego.gif
San Diego St.,263,San Diego St..gif
San Francisco,264,San Francisco.gif
San Jose St.,265,San Jose St..gif
Santa Clara,266,Santa Clara.gif
Savannah St.,267,Savannah St..gif
SE Missouri State,NA,SE Missouri State.gif
Seattle,268,Seattle.gif
Seton Hall,269,Seton Hall.gif
Siena,270,Siena.gif
SIU Edwardsville,271,SIU Edwardsville.gif
SMU,272,SMU.gif
South Alabama,273,South Alabama.gif
South Carolina,274,South Carolina.gif
South Carolina St.,275,South Carolina St..gif
South Dakota,276,South Dakota.gif
South Dakota St.,277,South Dakota St..gif
South Florida,278,South Florida.gif
Southeast Missouri St.,279,Southeast Missouri St..gif
Southern,281,Southern.gif
USC,331,USC.gif
Southern Illinois,282,Southern Illinois.gif
Southern Miss,283,Southern Miss.gif
Southern Utah,284,Southern Utah.gif
St. Bonaventure,287,St. Bonaventure.gif
St. Cloud State,NA,St. Cloud State.gif
St. Francis NY,288,St. Francis NY.gif
St. John's,290,St. John's.gif
Saint Joseph's,256,Saint Joseph's.gif
Stanford,291,Stanford.gif
Stephen F. Austin,292,Stephen F. Austin.gif
Stetson,293,Stetson.gif
Stony Brook,294,Stony Brook.gif
Syracuse,295,Syracuse.gif
TCU,296,TCU.gif
Temple,298,Temple.gif
Tennessee,299,Tennessee.gif
Tennessee St.,301,Tennessee St..gif
Tennessee Tech,302,Tennessee Tech.gif
Tennessee Martin,300,Tennessee Martin.gif
Texas,303,Texas.gif
Texas A&M,304,Texas A&M.gif
Texas A&M Corpus Chris,305,Texas A&M Corpus Chris.gif
Texas Southern,307,Texas Southern.gif
Texas St.,308,Texas St..gif
Texas Tech,309,Texas Tech.gif
Texas Arlington,NA,Texas Arlington.gif
Texas SA,NA,Texas SA.gif
The Citadel,310,The Citadel.gif
Toledo,311,Toledo.gif
Towson,312,Towson.gif
Troy,313,Troy.gif
Tulane,315,Tulane.gif
Tulsa,316,Tulsa.gif
Southwest Missouri State,,Southwest Missouri State.gif
Texas Pan American,306,Texas Pan American.gif
