Team,unique_id,file name
UAB,317,UAB.gif
UCLA,323,UCLA.gif
Connecticut,63,Connecticut.gif
UC Santa Barbara,321,UC Santa Barbara.gif
UMass Lowell,324,UMass Lowell.gif
UMBC,325,UMBC.gif
North Florida,213,North Florida.gif
Union,NA,Union.gif
UNLV,330,UNLV.gif
USC Upstate,332,USC Upstate.gif
Utah,335,Utah.gif
Utah St.,336,Utah St..gif
Utah Valley,337,Utah Valley.gif
UTEP,339,UTEP.gif
UTPB,NA,UTPB.gif
UT Rio Grande Valley,334,UT Rio Grande Valley.gif
Valparaiso,341,Valparaiso.gif
Vanderbilt,342,Vanderbilt.gif
Vermont,344,Vermont.gif
Villanova,345,Villanova.gif
Virginia,346,Virginia.gif
VCU,343,VCU.gif
Virginia Tech,347,Virginia Tech.gif
VMI,348,VMI.gif
Wagner,349,Wagner.gif
Wake Forest,350,Wake Forest.gif
Washington,351,Washington.gif
Washington St.,352,Washington St..gif
Weber St.,353,Weber St..gif
West Virginia,354,West Virginia.gif
Western Carolina,355,Western Carolina.gif
Western Illinois,356,Western Illinois.gif
Western Kentucky,357,Western Kentucky.gif
Western Michigan,358,Western Michigan.gif
Wichita St.,359,Wichita St..gif
William & Mary,360,William & Mary.gif
Winthrop,362,Winthrop.gif
Wisconsin,363,Wisconsin.gif
Green Bay,110,Green Bay.gif
Wisconsin Milwaukee,NA,Wisconsin Milwaukee.gif
Wofford,364,Wofford.gif
Wright St.,365,Wright St..gif
Wyoming,366,Wyoming.gif
Xavier,367,Xavier.gif
Yale,368,Yale.gif
Youngstown St.,369,Youngstown St..gif
UMKC,326,UMKC.gif
Wayne State 1,NA,Wayne State 1.gif
Wayne State 2,NA,Wayne State 2.gif
Winston Salem St.,361,Winston Salem St..gif
